movie_title,release_month,production_budget,worldwide_gross,ROI,genres,director_name
Total Recall,Jun,65000000.0,261400000.0,196400000.0,"Action,Adventure,Mystery",Len Wiseman
Monster Trucks,Jan,125000000.0,61642798.0,-63357202.0,"Action,Adventure,Comedy",Chris Wedge
Jason Bourne,Jul,120000000.0,416168316.0,296168316.0,"Action,Thriller",Paul Greengrass
Life of Pi,Nov,120000000.0,620912003.0,500912003.0,"Adventure,Drama,Fantasy",Ang Lee
Rampage,Apr,120000000.0,428056280.0,308056280.0,"Action,Adventure,Sci-Fi",Brad Peyton
Elysium,Aug,120000000.0,286192091.0,166192091.0,"Action,Drama,Sci-Fi",Neill Blomkamp
Oblivion,Apr,120000000.0,287916633.0,167916633.0,"Action,Adventure,Sci-Fi",Joseph Kosinski
Power Rangers,Mar,120000000.0,142531552.0,22531552.0,"Action,Adventure,Sci-Fi",Dean Israelite
RoboCop,Feb,120000000.0,242981799.0,122981799.0,"Action,Crime,Sci-Fi",José Padilha
RoboCop,Jul,13000000.0,53424681.0,40424681.0,"Action,Crime,Sci-Fi",José Padilha
Fantastic Four,Aug,120000000.0,167849187.0,47849187.0,"Action,Adventure,Drama",Josh Trank
Fantastic Four,Jul,87500000.0,333132750.0,245632750.0,"Action,Adventure,Drama",Josh Trank
The Island,Jul,120000000.0,163018913.0,43018913.0,"Drama,Romance",Kamen Kalev
The Island,Jun,22000000.0,15716828.0,-6283172.0,"Drama,Romance",Kamen Kalev
Knight and Day,Jun,117000000.0,258751370.0,141751370.0,"Action,Adventure,Comedy",James Mangold
Venom,Oct,116000000.0,853628605.0,737628605.0,"Action,Sci-Fi,Thriller",Ruben Fleischer
Venom,Sep,25000000.0,881745.0,-24118255.0,"Action,Sci-Fi,Thriller",Ruben Fleischer
The Wolverine,Jul,115000000.0,416456852.0,301456852.0,"Action,Adventure,Sci-Fi",James Mangold
Gulliver's Travels,Dec,112000000.0,232017848.0,120017848.0,"Adventure,Comedy,Family",Rob Letterman
Ferdinand,Dec,111000000.0,289847930.0,178847930.0,"Adventure,Animation,Comedy",Carlos Saldanha
Deadpool 2,May,110000000.0,786680557.0,676680557.0,"Action,Adventure,Comedy",David Leitch
Gravity,Oct,110000000.0,693698673.0,583698673.0,"Drama,Sci-Fi,Thriller",Alfonso Cuarón
San Andreas,May,110000000.0,456258539.0,346258539.0,"Action,Adventure,Drama",Brad Peyton
The Smurfs,Jul,110000000.0,563749323.0,453749323.0,"Adventure,Animation,Comedy",Raja Gosnell
The Patriot,Jun,110000000.0,215300000.0,105300000.0,Documentary,Daniel Sivan
300: Rise of an Empire,Mar,110000000.0,330780051.0,220780051.0,"Action,Fantasy,War",Noam Murro
Passengers,Dec,110000000.0,302239672.0,192239672.0,"Drama,Romance,Sci-Fi",Morten Tyldum
The Green Hornet,Jan,110000000.0,229155503.0,119155503.0,"Action,Comedy,Crime",Michel Gondry
Real Steel,Oct,110000000.0,263880341.0,153880341.0,"Action,Drama,Family",Shawn Levy
The A-Team,Jun,110000000.0,177241171.0,67241171.0,"Action,Adventure,Thriller",Joe Carnahan
The Smurfs 2,Jul,110000000.0,348547523.0,238547523.0,"Adventure,Animation,Comedy",Raja Gosnell
Ender's Game,Nov,110000000.0,127983283.0,17983283.0,"Action,Adventure,Fantasy",Gavin Hood
Ghost in the Shell,Mar,110000000.0,167910690.0,57910690.0,"Action,Drama,Sci-Fi",Rupert Sanders
Men in Black: International,Jun,110000000.0,3100000.0,-106900000.0,"Action,Adventure,Comedy",F. Gary Gray
Ali,Dec,109000000.0,87683966.0,-21316034.0,Drama,Paco R. Baños
The Martian,Oct,108000000.0,655271443.0,547271443.0,"Adventure,Drama,Sci-Fi",Ridley Scott
Allied,Nov,106000000.0,119266661.0,13266661.0,"Action,Drama,Romance",Robert Zemeckis
Ice Age: Collision Course,Jul,105000000.0,402156682.0,297156682.0,"Adventure,Animation,Comedy",Mike Thurmeier
Kingsman: The Golden Circle,Sep,104000000.0,408803696.0,304803696.0,"Action,Adventure,Comedy",Matthew Vaughn
Gladiator,May,103000000.0,457683805.0,354683805.0,"Documentary,Thriller",Laura Clarke
Bumblebee,Dec,102000000.0,465195589.0,363195589.0,"Action,Adventure,Sci-Fi",Travis Knight
Cloud Atlas,Oct,102000000.0,130673154.0,28673154.0,"Action,Drama,Mystery",Tom Tykwer
Little Fockers,Dec,100000000.0,310650574.0,210650574.0,"Comedy,Romance",Paul Weitz
The Other Guys,Aug,100000000.0,170936470.0,70936470.0,"Action,Comedy,Crime",Adam McKay
The Wolf of Wall Street,Dec,100000000.0,389870414.0,289870414.0,"Biography,Crime,Drama",Martin Scorsese
Epic,May,100000000.0,262794441.0,162794441.0,"Adventure,Animation,Family",Chris Wedge
The Expendables 2,Aug,100000000.0,311979256.0,211979256.0,"Action,Adventure,Thriller",Simon West
Hercules,Jul,100000000.0,243388614.0,143388614.0,"Action,Adventure,Fantasy",Brett Ratner
Hercules,Jun,70000000.0,250700000.0,180700000.0,"Action,Adventure,Fantasy",Brett Ratner
The Tourist,Dec,100000000.0,278731369.0,178731369.0,"Action,Adventure,Thriller",Florian Henckel von Donnersmarck
End of Days,Nov,100000000.0,212026975.0,112026975.0,"Comedy,Documentary,Drama",Christoffer Dreyer
Legend of the Guardians: The Owls of Ga'Hoole,Sep,100000000.0,139716717.0,39716717.0,"Action,Adventure,Animation",Zack Snyder
Wonder Park,Mar,100000000.0,115149422.0,15149422.0,"Adventure,Animation,Comedy",Dylan Brown
The Expendables 3,Aug,100000000.0,209461378.0,109461378.0,"Action,Adventure,Thriller",Patrick Hughes
Green Zone,Mar,100000000.0,97523020.0,-2476980.0,"Action,Drama,Thriller",Paul Greengrass
Geostorm,Oct,100000000.0,220796009.0,120796009.0,"Action,Sci-Fi,Thriller",Dean Devlin
Point Break,Dec,100000000.0,126704591.0,26704591.0,"Action,Crime,Sport",Ericson Core
Point Break,Jul,24000000.0,83531958.0,59531958.0,"Action,Crime,Sport",Ericson Core
In the Heart of the Sea,Dec,100000000.0,89693309.0,-10306691.0,"Action,Adventure,Biography",Ron Howard
The Peanuts Movie,Nov,99000000.0,250091610.0,151091610.0,"Adventure,Animation,Comedy",Steve Martino
Alien: Covenant,May,97000000.0,238521247.0,141521247.0,"Horror,Sci-Fi,Thriller",Ridley Scott
Cinderella,Mar,95000000.0,534551353.0,439551353.0,Musical,Brad Dalton
Cinderella,Feb,2900000.0,263591415.0,260691415.0,Musical,Brad Dalton
Ice Age: Continental Drift,Jul,95000000.0,879765137.0,784765137.0,"Adventure,Animation,Comedy",Steve Martino
Sex and the City 2,May,95000000.0,294680778.0,199680778.0,"Comedy,Drama,Romance",Michael Patrick King
Percy Jackson & the Olympians: The Lightning Thief,Feb,95000000.0,223050874.0,128050874.0,"Adventure,Family,Fantasy",Chris Columbus
The Campaign,Aug,95000000.0,104907746.0,9907746.0,Comedy,Jay Roach
Unstoppable,Nov,95000000.0,165720921.0,70720921.0,"Action,Thriller",Tony Scott
Ben-Hur,Aug,95000000.0,91669648.0,-3330352.0,"Action,Adventure,Drama",Timur Bekmambetov
Ben-Hur,Nov,15000000.0,73259017.0,58259017.0,"Action,Adventure,Drama",Timur Bekmambetov
Seventh Son,Feb,95000000.0,108874967.0,13874967.0,"Action,Adventure,Fantasy",Sergei Bodrov
Kingsman: The Secret Service,Feb,94000000.0,404561724.0,310561724.0,"Action,Adventure,Comedy",Matthew Vaughn
Rise of the Planet of the Apes,Aug,93000000.0,470986200.0,377986200.0,"Action,Drama,Sci-Fi",Rupert Wyatt
A Good Day to Die Hard,Feb,92000000.0,304249198.0,212249198.0,"Action,Thriller",John Moore
The Secret Life of Walter Mitty,Dec,91000000.0,187861183.0,96861183.0,"Adventure,Comedy,Drama",Ben Stiller
Jumanji: Welcome to the Jungle,Dec,90000000.0,964496193.0,874496193.0,"Action,Adventure,Comedy",Jake Kasdan
What Lies Beneath,Jul,90000000.0,288693989.0,198693989.0,"Drama,Mystery,Thriller",Johnny M. Sizemore
Rio,Apr,90000000.0,487519809.0,397519809.0,"Adventure,Animation,Comedy",Carlos Saldanha
Charlie's Angels,Nov,90000000.0,259736090.0,169736090.0,"Action,Adventure,Comedy",Elizabeth Banks
Mulan,Jun,90000000.0,303500000.0,213500000.0,"Adventure,Drama,Family",Niki Caro
The Girl with the Dragon Tattoo,Dec,90000000.0,239373970.0,149373970.0,"Crime,Drama,Mystery",David Fincher
Contact,Jul,90000000.0,165900000.0,75900000.0,"Documentary,History",Bentley Dean
The Magnificent Seven,Sep,90000000.0,162525156.0,72525156.0,"Action,Adventure,Western",Antoine Fuqua
Alvin and the Chipmunks: The Road Chip,Dec,90000000.0,249517956.0,159517956.0,"Adventure,Animation,Comedy",Walt Becker
Pixels,Jul,90000000.0,244041804.0,154041804.0,"Action,Comedy",Jacek Lusinski
The Interpreter,Apr,90000000.0,162753837.0,72753837.0,"Comedy,Drama",Martin Sulík
